subject,label,label_name,channel,power_uv2,n_30s_segments
10,3,Fatigue3,O2,590.473876953125,9
10,3,Fatigue3,P4,335.4334716796875,9
10,3,Fatigue3,P8,481.8119812011719,9
10,3,Fatigue3,TP10,518.1703491210938,9
10,3,Fatigue3,CP6,321.7671813964844,9
10,3,Fatigue3,CP2,145.04518127441406,9
10,3,Fatigue3,Cz,50.113037109375,9
10,3,Fatigue3,C4,141.91690063476562,9
10,3,Fatigue3,T8,364.323974609375,9
10,3,Fatigue3,FT10,464.1954650878906,9
10,3,Fatigue3,FC6,209.7449493408203,9
10,3,Fatigue3,FC2,38.55582046508789,9
10,3,Fatigue3,F4,113.04891967773438,9
10,3,Fatigue3,F8,354.408447265625,9
10,3,Fatigue3,Fp2,253.95132446289062,9
10,4,Fatigue4,Fp1,452.0489501953125,8
10,4,Fatigue4,Fz,48.448829650878906,8
10,4,Fatigue4,F3,83.74710845947266,8
10,4,Fatigue4,F7,533.5919189453125,8
10,4,Fatigue4,FT9,732.0460815429688,8
10,4,Fatigue4,FC5,346.1027526855469,8
10,4,Fatigue4,FC1,38.88818359375,8
10,4,Fatigue4,C3,203.8693389892578,8
10,4,Fatigue4,T7,611.2069091796875,8
10,4,Fatigue4,TP9,875.7543334960938,8
10,4,Fatigue4,CP5,473.6236267089844,8
10,4,Fatigue4,CP1,201.3525848388672,8
10,4,Fatigue4,Pz,407.0258483886719,8
10,4,Fatigue4,P3,500.5000915527344,8
10,4,Fatigue4,P7,845.7655639648438,8
10,4,Fatigue4,O1,899.7852783203125,8
10,4,Fatigue4,Oz,887.8103637695312,8
10,4,Fatigue4,O2,881.9070434570312,8
10,4,Fatigue4,P4,538.2169189453125,8
10,4,Fatigue4,P8,832.637939453125,8
10,4,Fatigue4,TP10,890.6331176757812,8
10,4,Fatigue4,CP6,519.341796875,8
10,4,Fatigue4,CP2,204.36183166503906,8
10,4,Fatigue4,Cz,64.37916564941406,8
10,4,Fatigue4,C4,193.78106689453125,8
10,4,Fatigue4,T8,575.816650390625,8
10,4,Fatigue4,FT10,733.3319091796875,8
10,4,Fatigue4,FC6,311.98944091796875,8
10,4,Fatigue4,FC2,45.147300720214844,8
10,4,Fatigue4,F4,176.81597900390625,8
10,4,Fatigue4,F8,527.5472412109375,8
10,4,Fatigue4,Fp2,420.39324951171875,8
