subject,label,label_name,channel,power_uv2,n_30s_segments
10,3,Fatigue3,O2,558.3798217773438,9
10,3,Fatigue3,P4,321.99285888671875,9
10,3,Fatigue3,P8,464.0082702636719,9
10,3,Fatigue3,TP10,495.9508361816406,9
10,3,Fatigue3,CP6,314.412841796875,9
10,3,Fatigue3,CP2,139.23098754882812,9
10,3,Fatigue3,Cz,46.56496047973633,9
10,3,Fatigue3,C4,152.78756713867188,9
10,3,Fatigue3,T8,329.23297119140625,9
10,3,Fatigue3,FT10,421.4133605957031,9
10,3,Fatigue3,FC6,212.53768920898438,9
10,3,Fatigue3,FC2,39.934513092041016,9
10,3,Fatigue3,F4,118.48249816894531,9
10,3,Fatigue3,F8,287.3261413574219,9
10,3,Fatigue3,Fp2,234.72862243652344,9
10,4,Fatigue4,Fp1,487.6072998046875,10
10,4,Fatigue4,Fz,50.757225036621094,10
10,4,Fatigue4,F3,92.50727844238281,10
10,4,Fatigue4,F7,591.9310302734375,10
10,4,Fatigue4,FT9,796.9778442382812,10
10,4,Fatigue4,FC5,350.17449951171875,10
10,4,Fatigue4,FC1,35.347591400146484,10
10,4,Fatigue4,C3,190.51377868652344,10
10,4,Fatigue4,T7,699.9568481445312,10
10,4,Fatigue4,TP9,928.7246704101562,10
10,4,Fatigue4,CP5,490.0465087890625,10
10,4,Fatigue4,CP1,208.10684204101562,10
10,4,Fatigue4,Pz,417.00177001953125,10
10,4,Fatigue4,P3,512.5184326171875,10
10,4,Fatigue4,P7,881.767822265625,10
10,4,Fatigue4,O1,926.234619140625,10
10,4,Fatigue4,Oz,909.6336059570312,10
10,4,Fatigue4,O2,904.160400390625,10
10,4,Fatigue4,P4,550.827880859375,10
10,4,Fatigue4,P8,861.3375244140625,10
10,4,Fatigue4,TP10,921.6571655273438,10
10,4,Fatigue4,CP6,543.1299438476562,10
10,4,Fatigue4,CP2,209.91905212402344,10
10,4,Fatigue4,Cz,67.4582748413086,10
10,4,Fatigue4,C4,225.2641143798828,10
10,4,Fatigue4,T8,565.0046997070312,10
10,4,Fatigue4,FT10,744.8341064453125,10
10,4,Fatigue4,FC6,348.81964111328125,10
10,4,Fatigue4,FC2,53.46677017211914,10
10,4,Fatigue4,F4,207.24441528320312,10
10,4,Fatigue4,F8,490.3580322265625,10
10,4,Fatigue4,Fp2,452.0065002441406,10
